Descripción del Artículo,Precio Mayoreo,Proveedor,FE,FS,AHORRO
CANDER 8 MG X 30 TAB (VALMORCA),107.99,Drolanca,0,0,0
COLVAL 4 MG X 12 COM  (VALMORCA),91.0,Drolanca,0,0,0
CO-SULTRIN 100 ML SUS ( VALMORCA),49.95,Drolanca,0,0,0
CO-SULTRIN 400 X 20 TAB (VALMORCA),50.56,Drolanca,0,0,0
DIVAL 50 MG X 20 COM (VALMORCA),25.27,Drolanca,0,0,0
DUROVAL 50 MG X 10 TAB (VALMORCA),111.22,Drolanca,0,0,0
DUROVAL 50 MG X 2 TAB,25.08,Drolanca,0,0,0
ESQUIDONE 1 MG X 30 TAB (VALMORCA),91.0,Drolanca,0,0,0
HISTALER 5 MG X 30 TAB,78.47,Drolanca,0,0,0
IBUCOLVAL 400 MG/4M X 20 TAB  (VALMORCA),132.66,Drolanca,0,0,0
IVERMECTINA 6 MG X 12 TAB,62.29,Drolanca,0,0,0
"LODESTAR HCT 50MG/12,5 MG X 30 TAB REC",96.06,Drolanca,0,0,0
LORAVAL 10 MG X 10 TAB (VALMORCA) (R),24.68,Drolanca,0,0,0
MOXVAL 400 MG X 5 TAB,151.68,Drolanca,0,0,0
NEULEVAL 500 MG X 10 TAB REC (LEVOFLOXAC,149.86,Drolanca,0,0,0
NEULEVAL 750 MG X 5 TAB REC (LEVOFLOXACI,102.94,Drolanca,0,0,0
OXOLAMINA PED 120ML JAR (GENCER),56.22,Drolanca,0,0,0
PREDNISONA 5 MG X 10 TAB (GENCER),25.88,Drolanca,0,0,0
PRELIVAL 150 MG X 20 CAP (PREGABALINA),150.45,Drolanca,0,0,0
PRELIVAL 75 MG X 20 CAP (PREGABALINA),82.1,Drolanca,0,0,0
TADAFOX 20 MG X 1 TAB (VALMORCA),15.17,Drolanca,0,0,0
TADAFOX 5 MG X 30TAB (VALMORCA),88.57,Drolanca,0,0,0
VALDIPOT 50 MG X 20 TAB,28.52,Drolanca,0,0,0
VITISIVAL JBE X 240 ML  (VALMORCA),146.61,Drolanca,0,0,0
PREDNISONA 50 MG X 10 TAB (GENCER),69.57,Drolanca,0,0,0
FLUCONAZOL 150 MG X 2 CAP GENCER,29.73,Drolanca,0,0,0
DUROVAL 100 MG X 1 TAB (VALMORCA),25.48,Drolanca,0,0,0
ESQUIDONE 3 MG X 30 TAB (VALMORCA),151.68,Drolanca,0,0,0
CANDER HCT 8 MG X 30 TAB (VALMORCA),126.39,Drolanca,0,0,0
EPITRAL 100 MG X 30 TABLETAS,90.4,Drolanca,0,0,0
IBECAR 150 MG X 30 TAB,174.52,Drolanca,0,0,0
IBECAR 300 MG X 30 TAB,279.27,Drolanca,0,0,0
OXOLAMINA ADU 120ML JAR (GENCER),56.83,Drolanca,0,0,0
AMIODARONA 200 MG X 10 COM (GENCER) (R),84.74,Drolanca,0,0,0
DUROVAL 50 MG X 1 TAB (VALMORCA),13.95,Drolanca,0,0,0
DUROVAL 50 MG X 3 TAB (VALMORCA),35.39,Drolanca,0,0,0
IBUCOLVAL 600 MG/4M X 20 TAB  (VALMORCA),163.0,Drolanca,0,0,0
CIPROFLOXACINA 500 MG X 12 TAB GENCER,58.25,Drolanca,0,0,0
ESQUIDONE 2 MG X 30 TAB (VALMORCA),120.73,Drolanca,0,0,0
AMOXIVAL + A.C 400MG-57MG/5ML X 60 SUS,176.95,Drolanca,0,0,0
ARCOVAL 90 MG X 7 TAB REC,75.83,Drolanca,0,0,0
METOCLOPRAMIDA 10MG X 6AMP I.M/I.V,174.52,Drolanca,0,0,0
NACLODIN  0.150MG X 20 TAB (VALMORCA),82.1,Drolanca,0,0,0
SALBUROL 0.5% SOL NEBULIZADORA 20ML,105.56,Drolanca,0,0,0
"HISTALER 0,5 MG X 60 ML JAR (VALMORCA)",45.3,Drolanca,0,0,0
SECNIDAZOL 1 G X 2 TAB (GENCER),37.21,Drolanca,0,0,0
"VALSARTAN HCT 160 MG/12,5 MG X 14 GENCER",101.31,Drolanca,0,0,0
MIRTAZAVAL 30 MG X 30 TAB,141.56,Drolanca,0,0,0
AMOXIVAL 500 MG X 12 CAP (VALMORCA),71.99,Drolanca,0,0,0
BETAMETASONA 4MG/ML X 1 AMP GENCER,48.74,Drolanca,0,0,0
CARBAMAZEPINA 200 MG X 20 TAB GENCER,56.22,Drolanca,0,0,0
COLVAL 4 MG/2ML  X 2 AMP (VALMORCA),71.99,Drolanca,0,0,0
AMOXIVAL 750 MG/5 ML X 70 ML SUSP,156.12,Drolanca,0,0,0
AMOXIVAL 875 MG X 20 TAB (VALMORCA),220.03,Drolanca,0,0,0
CANDER HCT 16 MG X 30 TAB (VALMORCA),180.79,Drolanca,0,0,0
ACEVAL 180 MG/5 ML X 120 ML PEDIATRICO,51.77,Drolanca,0,0,0
ANDANTOL JALEA X 20 G,76.36,Drolanca,0,0,0
ANTIFOM 40 MG X 10 COMP REC,91.64,Drolanca,0,0,0
KETAZOL 15 G CRE,67.91,Drolanca,0,0,0
ANTIFOM FORTE 160MG COM(SIMETICONA) x 10,109.91,Drolanca,0,0,0
ATROVERAN 10MG X 10 TAB RECU,100.36,Drolanca,0,0,0
"CANISON-BN 1%-0,5%-0,025% CREMA X 15 G",58.91,Drolanca,0,0,0
GYNOVIT 130 ML DUC,64.64,Drolanca,0,0,0
"LIT 10,8g-4,05g/67,5mL ENE PED X 67,5mL",163.64,Drolanca,0,0,0
FLESPAN 10 MG X 20 COMP REC,100.91,Drolanca,0,0,0
ACIDO FOLICO 10 MG x 20 COMP  (GC),23.45,Drolanca,0,0,0
CRISPLUS 120 MG X 30 CAPSULAS,300.0,Drolanca,0,0,0
MERTHIOLATE INCOLORO 60 ML LIQ,84.82,Drolanca,0,0,0
LIT 16G-6G/100 ML ENEMA ADULTO X 100 ML,169.09,Drolanca,0,0,0
HENOVIC SOLUCIÓN ORAL GOTAS X 30mL,100.58,Drolanca,0,0,0
KETAZOL 2% CHAMPU X 60 ML,211.36,Drolanca,0,0,0
PREVERAL PED C/DEXT 120 ML JAR,82.36,Drolanca,0,0,0
PROMEDINA 120 ML JAR,79.36,Drolanca,0,0,0
ATROVERAN 10 MG SOL GOTAS X 15 ML,85.78,Drolanca,0,0,0
MERTHIOLATE ROJO 60 ML,69.27,Drolanca,0,0,0
GLICERINA SUPOSITORIOS AD 6 (G.C.),107.18,Drolanca,0,0,0
LOSARTAN POTASICO 100 MG X 10 COMP  G.C,26.18,Drolanca,0,0,0
VESTAX 650 MG X 10 TAB,16.23,Drolanca,0,0,0
LUMBAX 400 MG X 10 TAB,27.0,Drolanca,0,0,0
"BIPROLIL 2,5 COMPRIMIDOS REC. X 15",37.23,Drolanca,0,0,0
LUMBAX 800MG COMPRIMIDOS REC. X 6,53.83,Drolanca,0,0,0
LUMBAX 600MG TABLETAS X 10,45.25,Drolanca,0,0,0
LOPERAM 2 MG X 10 TAB (LOPERAMIDA),53.73,Drolanca,0,0,0
DIHIDROLIP 10 MG X 10 TAB,60.82,Drolanca,0,0,0
VEDINOR 600 MG X 15 COMP REC,190.91,Drolanca,0,0,0
BUTROPINA 20 ML SOL GOT,48.75,Drolanca,0,0,0
FRIXONIL SOLUCION SPRAY 60 ML,26.3,Drolanca,0,0,0
FUROSIL SUSPENSION X 90 ML,34.0,Drolanca,0,0,0
LEVINZOL X 30 CAP,59.26,Drolanca,0,0,0
"SOLUNOVAR 0,05% ENJUAGUE BUCAL 240 Ml",35.92,Drolanca,0,0,0
FUGOLIN 500MG X 1 CAP/VAGINAL,43.83,Drolanca,0,0,0
SOLUNOVAR COMPUESTO X 120 ML,51.95,Drolanca,0,0,0
FLATVIN 125 MG CAPB X 10,37.74,Drolanca,0,0,0
FUGOLIN 20 G CRE,30.77,Drolanca,0,0,0
GENCIVOL COMP PEDIATRICO X 15 ML,44.65,Drolanca,0,0,0
SINUTIL PED 30 ML GOT,48.62,Drolanca,0,0,0
SINUTIL 90 ML JAR,44.65,Drolanca,0,0,0
NOV.HEPAR B12 90 ML JAR,40.18,Drolanca,0,0,0
OTAN 5 ML GOT,43.83,Drolanca,0,0,0
ALCOHOL ETILÍCO 70% 180ML VINCENTI SPRAY,29.22,Drolanca,0,0,0
ALCOHOL ETILÍCO 70% 60ML VINCENTI SPRAY,21.1,Drolanca,0,0,0
ALIVERIUM 100MG+ 300MG X 10 CAPS BLANDA,62.51,Drolanca,0,0,0
FUGOLIN SPRAY ATOM X 30ML,55.19,Drolanca,0,0,0
CEFTITAN (CEFTIBUTENO) 400MG X 10 CAP,710.39,Drolanca,0,0,0
CEVAX 500 MG X 30 CAPS (VIVAX),70.78,Drolanca,0,0,0
COMPLEJO B 2 ML X  3 AMP (VIVAX),46.48,Drolanca,0,0,0
CARVIX X 30 CAP  (VIVAX),54.35,Drolanca,0,0,0
ILANA 600 MG X 1 OVULO (VIVAX),60.95,Drolanca,0,0,0
BETADUO JERINGA PRELLENADA 1ML (VIVAX),131.75,Drolanca,0,0,0
EVIGAX 125 MG X 10 CAP  (VIVAX),50.01,Drolanca,0,0,0
ATOVAROL 40 MG X 30 CAP (VIVAX),140.31,Drolanca,0,0,0
DAYFLU DIA/NOCHE X 15 CAPSULAS BLANDAS,69.94,Drolanca,0,0,0
"CEVAX ZINC 500MG + 7,5MG UI X 15 CAPS BL",53.43,Drolanca,0,0,0
AGUA MICELAR 250ML,75.74,Drolanca,0,0,0
BB CREMA ANTI-EDAD TONO CLARO,82.58,Drolanca,0,0,0
BB CREMA ANTI-EDAD TONO MEDIO,82.58,Drolanca,0,0,0
CONTORNO DE OJO 15ML,69.96,Drolanca,0,0,0
CREMA NUTRITIVA ANTI-EDAD DE NOCHE,64.26,Drolanca,0,0,0
GEL EXFOLIANTE FACIAL PROFUNDO ANTI-EDAD,61.48,Drolanca,0,0,0
GEL JABON FACIAL 120ML,85.43,Drolanca,0,0,0
LIP BALM BASAMO LABIAL ANTI EDAD 15ML,43.97,Drolanca,0,0,0
MASCARILLA FACIAL ANTI-EDAD,49.56,Drolanca,0,0,0
SERUM FACIAL ANTI EDAD 30ML,75.12,Drolanca,0,0,0
CREMA HIDRATANTE DIA ANTI-EDAD,66.55,Drolanca,0,0,0
PANTALLA SOLAR FACIAL ANTI-EDAD,81.87,Drolanca,0,0,0
LEFLUMAX 500 MG X 7 COMP REC,49.09,Drolanca,0,0,0
ETOROCZIA 60MG X 10 TAB REC,62.73,Drolanca,0,0,0
GLUCOFRED 80 MG X 10 TAB X 10 BLISTER,44.18,Drolanca,0,0,0
GLIPTIN-M 50MG-500MG X 10 COM REC,81.74,Drolanca,0,0,0
CARDIPIRINA 80 MG X 30 CAP,35.45,Drolanca,0,0,0
MUCORAMA 118 ML JAR,63.27,Drolanca,0,0,0
BRODILIN 120 ML JBE,84.0,Drolanca,0,0,0
DUVADILAN 10 MG X 30 COMP,196.36,Drolanca,0,0,0
ORALZINC S/REHIDRAT MANDARINA X 1 SOB,71.73,Drolanca,0,0,0
LOSARTAN 50 MG X 30 TAB REC (ENVASE),42.73,Drolanca,0,0,0
A ACIDO TRANEXAMICO 500MG/5ML X 1,16.61,Drolvilla Importado,0,0,0
A ACIDO TRANEXAMICO 500MG/5ML X 1,16.61,Drolvilla Importado,0,0,0
A ADRENALINA 1 MG IV/IM X 1 AM,7.7,Drolvilla Importado,0,0,0
A AMIKACINA 500MG/2ML IM/IV X 1 AMP NEX PHARMA,16.61,Drolvilla Importado,0,0,0
"A AMPICILINA SULB 1,5GR IV/IM X 1  NEX P      ",18.01,Drolvilla Importado,0,0,0
A CEFTRIAXONA AMP IM/IV 1G X 1 P&M MEDICAL,7.0,Drolvilla Importado,0,0,0
A DEXAMETAXONA 8MG/2ML AMP X 1 RONAMEDIC,4.37,Drolvilla Importado,0,0,0
A KETOPROFENO IM/IV100 MG/2 ML X 1 AMP ,13.99,Drolvilla Importado,0,0,0
A LEVOFLOXACINA I.V. 500 MG X 100 ML DAC  ,8.74,Drolvilla Importado,0,0,0
A LEVOFLOXACINA I.V. 500 MG X 100ML (LEVOMED),8.74,Drolvilla Importado,0,0,0
A LIDOCAINA2%+ADRENALINA I:80.000X 5 AMPOLLAS PARA USO SUBMUCOSO Y SUBCUTANEO,40.92,Drolvilla Importado,0,0,0
A MEROPENEM 1 GR P/SOL INY. X 1  P&M   ,90.94,Drolvilla Importado,0,0,0
A OMEPRAZOL AMP. 40 MG. X 1 (OCICURE I.V) DAC55,13.12,Drolvilla Importado,0,0,0
A PENICILINA G BENZ. 2.400.000 I.M. X 1,8.74,Drolvilla Importado,0,0,0
AIRDEX 10 MG X 30 TAB (MONTELUKAST),42.32,Drolvilla Importado,0,0,0
AIRDEX-M 10MG/5MG X 30 TAB (DESLORATADINA+MONTELUKAST),59.11,Drolvilla Importado,100,100,100
AMOXICILINA 250MG/5ML PPS X 60ML FARMAME   ,24.48,Drolvilla Importado,0,0,0
ANOMEX (HIDR+LIDOC+ZINC+ALANT) SUP X 10   ,111.23,Drolvilla Importado,0,0,0
ATORVASTATINA 20 MG X 30 TAB BUKA,47.74,Drolvilla Importado,0,0,0
ATORVASTATINA 20MG X 30 TAB FARMAMED,30.78,Drolvilla Importado,0,0,0
ATORVASTATINA 40 MG X 30 TAB REC DAC,53.69,Drolvilla Importado,0,0,0
ATORVASTATINA 40MG X 30 TAB FARMAMED,40.92,Drolvilla Importado,0,0,0
AZITROMICINA 500 MG X 3 TAB FARMAMED  ,25.53,Drolvilla Importado,0,0,0
AZITROMICINA 200MG/5ML SUSP X 15 ML FARM,36.38,Drolvilla Importado,0,0,0
BACITRACINA 500U/I UNGUENTO X 20 GR DAC              ,31.31,Drolvilla Importado,0,0,0
BETADEX 0.1% X 15 GR (BETAMETASONA),34.1,Drolvilla Importado,0,0,0
BETAHISTINA 16 MG X 20 TAB FARMAMED,30.78,Drolvilla Importado,0,0,0
BISACODILO 5MG X 10 TAB (DULCOLAX),20.46,Drolvilla Importado,0,0,0
BISOPROL 2.5 MG X 30 TAB (BISOPROLOL),20.99,Drolvilla Importado,0,0,0
BISOPROL 5 MG X 30 TAB (BISOPROLOL),28.16,Drolvilla Importado,0,0,0
BISOPROLOL 10 MG X 30 TAB-FARMAMED      ,28.68,Drolvilla Importado,0,0,0
"BISOPROLOL FUMARATO 2,5MG X 30 TAB LATTA      ",45.47,Drolvilla Importado,0,0,0
BISOPROLOL FUMARATO 5 MG X 30 TAB LATTA      ,56.84,Drolvilla Importado,0,0,0
CARBAMAZEPINA 200MG X 20 TAB DAC,35.33,Drolvilla Importado,0,0,0
CARBAMAZEPINA 200MG X 20 TAB FARMAMED,35.33,Drolvilla Importado,0,0,0
CARBONATO DE LITIO 300 MG X 20 CAP FARMAMED,26.58,Drolvilla Importado,0,0,0
CEFIXIMA 400MG X 10 TAB DISP DAC55     ,78.18,Drolvilla Importado,0,0,0
CEFIXIMA 400MG X 10 TAB FARMAMED,71.7,Drolvilla Importado,0,0,0
CETIRIDEX 10 MG X 10 TAB (CETIRIZINA),3.15,Drolvilla Importado,0,0,0
CETIRIZINA 10 MG X 10 TAB DAC,9.79,Drolvilla Importado,0,0,0
CETIRIZINA 10 MG X 10 TAB FARMAMED,8.22,Drolvilla Importado,0,0,0
CIPROFLOXACINA 500 MG TAB X 10 DAC,26.76,Drolvilla Importado,0,0,0
CIPROFLOXACINA 500 MG X 10 TAB-FARMAMED,25.18,Drolvilla Importado,0,0,0
CITICOLINA 500 MG X 10 TAB - FARMAMED      ,83.95,Drolvilla Importado,0,0,0
CLINDAMICINA+KETOCONAZOL OVUL VAG X 5,111.23,Drolvilla Importado,0,0,0
CLINFAST (CLINDAMICINA+CLOTRIMAZOL) OVUL VAG X 3,88.14,Drolvilla Importado,0,0,0
CLONEDAC CREMA X 20 GR DAC CLOT+NEO+DEXA   (BAYCUTEN)   ,40.22,Drolvilla Importado,0,0,0
CLONEDAC FEET (BIFONAZOL 1%) CR X 20 GR (CANESFAT),33.58,Drolvilla Importado,0,0,0
CLONIDINA 0.150MG X 30 TAB GREENPHARMA,40.92,Drolvilla Importado,0,0,0
CLORTADOL 12.5MG X 30 TAB (CLORTALIDONA),41.8,Drolvilla Importado,0,0,0
CLOTRIMAZOL 100 MG X 6 TAB VAG + APL  ,39.87,Drolvilla Importado,0,0,0
CLOTRIMAZOL 2% CREMA VAG X 30 GR TIARES,43.72,Drolvilla Importado,0,0,0
CLOTRIMAZOL 500 MG X 1 TAB VAG + APL ,33.58,Drolvilla Importado,0,0,0
DANI 35 MCG CIPROT+ETINELST X 21 TAB TIARES (DIANE 35 / DIXI 35),107.03,Drolvilla Importado,0,0,0
DICLOFENAC POT 100 MG X 10 TAB LATTAN       ,22.74,Drolvilla Importado,0,0,0
DICLOFENAC POT 50 MG PAC X 10 TAB + 10 TAB  ,14.34,Drolvilla Importado,0,0,0
DICLOFENAC POT 50 MG X 20 TAB REC DAC,15.57,Drolvilla Importado,0,0,0
DIOSMINA 600 MG X 10 TAB FARMAMED,61.39,Drolvilla Importado,0,0,0
DIOSMINA-HESPER 450MG/50MG X 10 TAB DAC   ,85.0,Drolvilla Importado,0,0,0
DUROSIL 50 MG X 4 TAB (SILDENAFIL),6.12,Drolvilla Importado,0,0,0
ESCITALOPRAM  10 MG X 14 TAB LATTAN    ,68.21,Drolvilla Importado,0,0,0
ETORICOXIB 90MG TAB X 7 LATTAN MEDIC        ,34.1,Drolvilla Importado,0,0,0
FLAVOXATO 200MG X 10 TAB FARMAMED,30.78,Drolvilla Importado,0,0,0
FLUOXETINA 20MG X 20 TAB FARMAMED,20.46,Drolvilla Importado,0,0,0
GABAPENTINA 300 MG X 20 TAB FARMAMED,10.32,Drolvilla Importado,0,0,0
GABAPENTINA 300MG X 14 CAPS LATTAN,27.28,Drolvilla Importado,0,0,0
GEMFIBROZIL 600 MG X 30 TAB LATTAN MEDIC         ,90.94,Drolvilla Importado,0,0,0
GLIMEPIRIDA 2 MG X 30 TAB-FARMAMED,16.44,Drolvilla Importado,0,0,0
GLIBENCLAMIDA 5 MG X 30 TAB- FARMAMED,22.04,Drolvilla Importado,0,0,0
"GYNO CLONEDAC VAG 1% CR X 50 GR 6 DIAS (GYNOCANESTEN, CLOTRIMAZOL) CREMA VAGINAL",51.24,Drolvilla Importado,0,0,0
HALOPERIDOL 5MG X 20 TAB JMW,42.67,Drolvilla Importado,0,0,0
IBUPROFENO 400 MG X 20 TAB DROVENPLUS,19.41,Drolvilla Importado,0,0,0
IBUPROFENO 600MG X 10 TAB FARMAMED,15.39,Drolvilla Importado,0,0,0
IBUPROFENO 800 MG X 10 TAB FARMAMED,16.44,Drolvilla Importado,0,0,0
IBUPROFENO+TIOCOLCHICOSIDO 600M X 10 FARMAMED,40.92,Drolvilla Importado,0,0,0
ITRACONAZOL 100 MG X 10 CAP- FARMAMED,26.58,Drolvilla Importado,0,0,0
KETODAC 100 MG X 10 CAP (KETOPROFENO) DAC,29.38,Drolvilla Importado,0,0,0
KETOROLACO TROMETAMINA 20 MG X 10 TAB F     ,18.36,Drolvilla Importado,0,0,0
LAMOTRIGINA 100 MG TAB X 30 LATTAN MEDIC,61.39,Drolvilla Importado,0,0,0
"LATROS SOL OFT 0,05% X 3ML (LATANOPROST)",110.27,Drolvilla Importado,0,0,0
LEVOFLOXACINA 500 MG X 10 TAB FARMAMED   ,26.58,Drolvilla Importado,0,0,0
LEVONORGESTREL 1.5 MG X 1 TAB TIARES (NORLEVO / PLUSONE)    ,29.38,Drolvilla Importado,0,0,0
LEVOTIROXINA 100 MG X 30 DAC,34.63,Drolvilla Importado,0,0,0
LOSARTAN POT 50 MG X 30 TAB BUKA         ,26.23,Drolvilla Importado,0,0,0
LOSARTAN POT 50 MG X 30 TAB FARMAMED,27.63,Drolvilla Importado,0,0,0
MELOXICAM 15 MG TAB X 10 FARMAMED,8.22,Drolvilla Importado,0,0,0
MELOXICAM 15 MG TAB X 10 LATTAN MEDIC     ,22.74,Drolvilla Importado,0,0,0
MEMANTINA 10 MG X 10 TAB- FARMAMED,16.44,Drolvilla Importado,0,0,0
METFORMINA 500 MG X 30 TAB DAC      ,23.61,Drolvilla Importado,0,0,0
METRONIDAZOL 500 MG X 10 TAB FARMAMED ,10.32,Drolvilla Importado,0,0,0
METRONIDAZOL-MICONAZOL KIT VAG X 6 OVULOS,88.14,Drolvilla Importado,0,0,0
"MONTELUKAST+DESLORATADINA 5MG/2,5MG X 10 TAB GREENPHARMA",42.15,Drolvilla Importado,100,100,100
MULTIVITAMINICO TABL X 60,80.8,Drolvilla Importado,0,0,0
OMEPRAZOL 20 MG PAC X 10 TAB + 10 TAB  ,20.99,Drolvilla Importado,0,0,0
PREGABALEX 75 MG X 30 TAB (PREGABALINA),25.71,Drolvilla Importado,0,0,0
PREGABALINA  75MG X 14 CAPS LATTAN     ,27.28,Drolvilla Importado,0,0,0
PROGESTERONA 100 MG TAB X 10 TIARES      ,111.23,Drolvilla Importado,0,0,0
PROGESTERONA 200 MG TAB X 10 TIARES    ,134.32,Drolvilla Importado,0,0,0
PROPRANOLOL 40MG X 10 TAB FARMAMED  ,12.24,Drolvilla Importado,0,0,0
QUETIAPINA 100 MG X 10 TAB- FARMAMED   ,20.46,Drolvilla Importado,0,0,0
RISPERIDONA 1 MG X 20 TAB- FARMAMED,12.24,Drolvilla Importado,0,0,0
RISPERIDONA 2 MG X 20 TAB-FARMAMED,16.44,Drolvilla Importado,0,0,0
SABEMIEL BERRO+CEBOLLA MORADA X 180 ML     ,48.27,Drolvilla Importado,0,0,0
SABEMIEL BERRO+EUCALIPTO X 180 ML   ,48.27,Drolvilla Importado,0,0,0
SABEMIEL BERRO+ZABILA+JENGIBRE X 180 ML   ,48.27,Drolvilla Importado,0,0,0
SABEMIEL KIDS SABILA-MIEL JBE X 120 ML,48.97,Drolvilla Importado,0,0,0
SABEMIEL PLUS X 180 ML        ,48.27,Drolvilla Importado,0,0,0
SECNIDAZOL 500 MG X 4 TAB FARMAMED   ,15.39,Drolvilla Importado,0,0,0
SERTRALINA 50 MG X 20 TAB FARMAMED,24.48,Drolvilla Importado,0,0,0
SERTRALINA 50MG X 10 TAB LATTAN        ,20.64,Drolvilla Importado,0,0,0
SILDECAINE  X 10 GR (SILDENAFIL+LIDOCAINA),40.75,Drolvilla Importado,0,0,0
SISTAGLIP-M 500+50MG X 30 TAB (METFORMINA+SITAGLIPTINA),80.1,Drolvilla Importado,0,0,0
SUCRASIL 1GR X 30 TAB (SUCRALFATO),58.41,Drolvilla Importado,0,0,0
SYVIR FAVIPIRAVIR 200 MG X 40 TAB,454.71,Drolvilla Importado,0,0,0
TAMSULOX 0.4MG X 30 TAB (TAMSULOSINA),24.31,Drolvilla Importado,0,0,0
TIOCOLCHICOSIDO 4 MG X 10 TAB DAC,30.78,Drolvilla Importado,0,0,0
TIZANIDINA 2 MG TAB X 30 LATTAN MEDIC    ,113.68,Drolvilla Importado,0,0,0
TORVASTEX 20MG X 30 TAB (ATORVASTATINA),26.23,Drolvilla Importado,0,0,0
TORVASTEX 40MG X 30 TAB (ATORVASTATINA),33.93,Drolvilla Importado,0,0,0
TRIMIC FORTE (METRON-MICON-LIDO) X 7 OVU     ,111.23,Drolvilla Importado,0,0,0
VENLAFAXINA XR LP 75 MG X 14 CAP LATTAN ,68.21,Drolvilla Importado,0,0,0
VITAMINA C +ZINC+MAGN+VIT D3 X 60 CAP LATTAN MEDIC,113.68,Drolvilla Importado,0,0,0
VITAMINA D3 5.000UNI X 30 CAPS DROVENPLUS,47.74,Drolvilla Importado,0,0,0
BETAGRANULOS CREMA TUBO X 60 GR,207.09,Drolvilla Nacionales,0,0,0
BONAVEN AVENA BARRA X 120 GR,198.9,Drolvilla Nacionales,0,0,0
BONAVEN LOCIÓN FCO X 120 ML,207.09,Drolvilla Nacionales,0,0,0
CALCIBON NATAL FORTE TAB X 30 FARMA,128.44,Drolvilla Nacionales,0,0,0
CALPAL D  NATAL TAB REC X 30 BIOTECH,83.98,Drolvilla Nacionales,0,0,0
CEPIN CREMA X 50 GR,151.0,Drolvilla Nacionales,0,0,0
EKICAL ALIM LIQUIDO SUSP X 120 ML,74.1,Drolvilla Nacionales,0,0,0
EMOLIN NEO LOCIÓN X 240 ML,313.56,Drolvilla Nacionales,0,0,0
HIDRIBET 5 % LOCION FCO X 125 ML,160.29,Drolvilla Nacionales,0,0,0
KIDCAL SUSP TUTTI-FRUTTI X 180ML,116.09,Drolvilla Nacionales,0,0,0
LISIN-BE ALIMENTO LIQUIDO FCO X 120 ML,72.87,Drolvilla Nacionales,0,0,0
MAGALEX 100MG  CAP X 30 (MAGNESIO),108.68,Drolvilla Nacionales,0,0,0
UMBRELLA KIDS WP X 120 GR SPF 50,136.53,Drolvilla Nacionales,0,0,0
A CICLOKAN 500 MG/5 ML X 1 AMP,60.84,Drolvilla Nacionales,0,0,0
A CITICOLINA 500MG/2ML (CIATAL) X 1 MEYE,19.37,Drolvilla Nacionales,0,0,0
A DECOBEL AMP 8MG/2ML X 2 ML VIAL,34.03,Drolvilla Nacionales,0,0,0
A KELAC 30 MG/ML 1ML X 3 AMP (KETOROLAC),78.39,Drolvilla Nacionales,0,0,0
A KETOPROFENO I.M 100 MG/2 ML X 2 AMP GV,51.2,Drolvilla Nacionales,0,0,0
A TRIAMCINOLONA-ACETONIDO 10MG/1ML X 1,73.85,Drolvilla Nacionales,0,0,0
A VITAMINA B12 1 ML X 3 AMP KLINOS,93.6,Drolvilla Nacionales,0,0,0
A VITAMINA C 100MG/ML  X 3 AMP  5ML KLIN,93.6,Drolvilla Nacionales,0,0,0
ACEITE DE ALMENDRAS X 30 ML LYA,16.0,Drolvilla Nacionales,0,0,0
ACEITE DE RICINO  X 30 ML LYA,21.5,Drolvilla Nacionales,0,0,0
ACEITE MINERAL X 30 ML LYA,16.0,Drolvilla Nacionales,0,0,0
ACETAB 250 MG X 20 TAB,95.76,Drolvilla Nacionales,0,0,0
ACETAMINOFEN 1000 MG COMP X10 SPEFAR,43.82,Drolvilla Nacionales,0,0,0
ACETAMINOFEN 150MG/5ML JBE X 120 ML ELTE,36.55,Drolvilla Nacionales,0,0,0
ACETAMINOFEN 500 MG TAB X 20 LA SANTE,21.08,Drolvilla Nacionales,0,0,0
ACETAMINOFEN 500MG X 10 COMP GENVEN,10.77,Drolvilla Nacionales,0,0,0
ACETAMINOFEN 500MG X 20 TAB QUIMFAR,19.07,Drolvilla Nacionales,0,0,0
ACETAMINOFEN 650 MG X 10 COMP GENVEN,9.28,Drolvilla Nacionales,0,0,0
ACETAMINOFEN 650 MG X 30 COMP GENVEN,25.66,Drolvilla Nacionales,0,0,0
ACETAMINOFEN 650MG DISP TAB X 100 LA SAN,93.75,Drolvilla Nacionales,0,0,0
ACETAMINOFEN 650MG X 10 TAB PLUSANDEX,11.15,Drolvilla Nacionales,0,0,0
ACETAMINOFEN COMP 750 MG X10 SPEFAR,14.85,Drolvilla Nacionales,0,0,0
ACETAMINOFEN SUSP 120MG/5MLX120ML QF,34.94,Drolvilla Nacionales,0,0,0
ACETAMINOFEN+CLOF+CAFEINA X 6 COMP SPEFA,20.0,Drolvilla Nacionales,0,0,0
ACETOBEN 100MG/5ML JBE X 120 ML,55.05,Drolvilla Nacionales,0,0,0
ACICLOR 200MG/5ML PPS X 60 ML,72.88,Drolvilla Nacionales,0,0,0
ACICLOR 5% CREMA X 10 GR GENVEN,55.32,Drolvilla Nacionales,0,0,0
ACICLOR A.P. COMP. 1 GR. X 10.  LETI,135.6,Drolvilla Nacionales,0,0,0
ACIDO ACETILSALICILICO 81MG X 30 COMP SP,38.9,Drolvilla Nacionales,0,0,0
ACIDO FOLICO 10 MG X 20 TAB PLUSANDEX,13.49,Drolvilla Nacionales,0,0,0
